Chromosome	Start	End	Closest Gene	Locaiton	Distance To Gene's TSS
Chr1	6781139	6781493	AT1G19610	Gene_Downstream	167
Chr1	17464140	17464844	AT1G47560	Gene_Upstream	-2259
Chr1	7600670	7600885	AT1G21651	Gene_Downstream	28
Chr1	6445058	6445399	AT1G18710	Gene_Upstream	-5366
Chr1	27846871	27847183	AT1G74045	Gene_Downstream	187
Chr1	5360146	5360817	AT1G15570	Gene_Upstream	-1528
Chr1	4585342	4585823	AT1G13370	Gene_Downstream	2198
Chr1	23893453	23893966	AT1G64380	Gene_Upstream	-1536
Chr1	17765160	17765417	AT1G48100	Gene_Upstream	-1586
Chr1	10145797	10146218	AT1G29060	Gene_Upstream	-1686
Chr1	17701171	17701367	AT1G47990	Gene_Downstream	435
Chr1	28963439	28963990	AT1G77093	Gene_Downstream	565
Chr1	10794994	10795427	AT1G30475	Gene_Upstream	-5085
Chr1	21976466	21976785	AT1G59750	Gene_Upstream	-2664
Chr1	6655215	6655623	AT1G19250	Gene_Upstream	-2341
Chr1	28860658	28860817	AT1G76870	Gene_Downstream	2330
Chr1	27032984	27033345	AT1G71866	Gene_Upstream	-1703
Chr1	19579021	19579465	AT1G52565	Gene_Downstream	643
Chr1	24326020	24326485	AT1G65470	Gene_Upstream	-2188
Chr1	21611437	21611674	AT1G58265	Gene_Downstream	167
Chr1	4007379	4007709	AT1G11880	Gene_Downstream	161
Chr1	2141811	2142285	AT1G06980	Gene_Downstream	983
Chr1	10456192	10456708	AT1G29860	Gene_Downstream	665
Chr1	26443222	26443455	AT1G70210	Gene_Downstream	509
Chr1	3250004	3250344	AT1G09970	Gene_Upstream	-2066
Chr1	22877200	22877760	AT1G61890	Gene_Upstream	-6200
Chr1	21215011	21215128	AT1G56610	Gene_Downstream	507
Chr1	30338593	30338858	AT1G80730	Gene_Downstream	598
Chr1	30152567	30153374	AT1G80160	Gene_Downstream	780
Chr1	4648663	4648952	AT1G13590	Gene_Downstream	67
Chr1	4580886	4581222	AT1G13360	Gene_Upstream	-3087
Chr1	11426791	11427253	AT1G31840	Gene_Downstream	308
Chr1	5048412	5048932	AT1G14687	Gene_Downstream	60
Chr1	13496698	13497055	AT1G36100	Gene_Downstream	1661
Chr1	12986368	12987304	AT1G35350	Gene_Upstream	-2253
Chr1	26476346	26476883	AT1G70290	Gene_Upstream	-1828
Chr1	26518381	26518495	AT1G70370	Gene_Upstream	-3250
Chr1	26801644	26802139	AT1G71040	Gene_Upstream	-1569
Chr1	10620254	10621025	AT1G30190	Gene_Downstream	837
Chr1	18110525	18110858	AT1G48953	Gene_Downstream	399
Chr1	26657432	26657974	AT1G70700	Gene_Downstream	639
Chr1	11807346	11807529	AT1G32650	Gene_Downstream	3120
Chr1	6231951	6232233	AT1G18100	Gene_Upstream	-1904
Chr1	28700602	28701963	AT1G76500	Gene_Upstream	-4245
Chr1	23196044	23196297	AT1G62660	Gene_Upstream	-3548
Chr1	24877771	24878141	AT1G66700	Gene_Upstream	-3198
Chr1	11196939	11197449	AT1G31310	Gene_Downstream	1159
Chr1	17731542	17732202	AT1G48070	Gene_Upstream	-750
Chr1	17235936	17236267	AT1G46480	Gene_Downstream	577
Chr1	26534539	26535709	AT1G70400	Gene_Upstream	-1664
Chr1	8011993	8012259	AT1G22650	Gene_Downstream	1256
Chr1	22598067	22598832	AT1G61260	Gene_Upstream	-3380
Chr1	1998353	1998663	AT1G06520	Gene_Upstream	-2396
Chr1	21038926	21039338	AT1G56210	Gene_Downstream	1921
Chr1	7139951	7140311	AT1G20610	Gene_Upstream	-2350
Chr1	10569281	10569641	AT1G30100	Gene_Upstream	-1879
Chr1	22324060	22324779	AT1G60600	Gene_Downstream	226
Chr1	4966265	4966376	AT1G14510	Gene_Upstream	-1892
Chr1	4192251	4192595	AT1G12330	Gene_Upstream	-2235
Chr1	889920	890343	AT1G03550	Gene_Upstream	-2175
Chr1	6884495	6884817	AT1G19850	Gene_Upstream	-2223
Chr1	25055142	25055398	AT1G67100	Gene_Downstream	423
Chr1	22624772	22625894	AT1G61330	Gene_Downstream	806
Chr1	30295544	30295956	AT1G80590	Gene_Downstream	460
Chr1	24742803	24742880	AT1G66345	Gene_Downstream	3488
Chr1	7974978	7975881	AT1G22570	Gene_Downstream	1191
Chr1	3770373	3770697	AT1G11250	Gene_Downstream	829
Chr1	4889658	4890015	AT1G14320	Gene_Downstream	175
Chr1	7348356	7348798	AT1G21010	Gene_Downstream	1604
Chr1	20262046	20262597	AT1G54270	Gene_Downstream	55
Chr1	21232061	21232430	AT1G56650	Gene_Downstream	1350
Chr1	9991447	9992121	AT1G28430	Gene_Downstream	1202
Chr1	2861837	2862090	AT1G08920	Gene_Upstream	-5296
Chr1	147875	148106	AT1G01380	Gene_Downstream	48
Chr1	26001600	26002155	AT1G69160	Gene_Downstream	289
Chr1	10535177	10535532	AT1G30040	Gene_Upstream	-2294
Chr1	9810541	9810833	AT1G28110	Gene_Upstream	-3791
Chr1	26664505	26664606	AT1G70710	Gene_Upstream	-1545
Chr1	29742992	29745107	AT1G79070	Gene_Downstream	621
Chr1	22777040	22777279	AT1G61680	Gene_Upstream	-2439
Chr1	18886200	18886683	AT1G50954	Gene_Downstream	92
Chr1	19638169	19638365	AT1G52710	Gene_Downstream	18
Chr1	16895878	16896075	AT1G44760	Gene_Downstream	710
Chr1	11829547	11830054	AT1G32700	Gene_Downstream	41
Chr1	24685651	24686425	AT1G66240	Gene_Downstream	218
Chr1	27183879	27184209	AT1G72220	Gene_Downstream	237
Chr1	27300980	27301499	AT1G72510	Gene_Upstream	-2127
Chr1	4537297	4537578	AT1G13260	Gene_Upstream	-4731
Chr1	1884394	1884997	AT1G06160	Gene_Downstream	761
Chr1	24675135	24675488	AT1G66230	Gene_Upstream	-1843
Chr1	25724184	25725462	AT1G68552	Gene_Downstream	632
Chr1	3773272	3773387	AT1G11260	Gene_Upstream	-3999
Chr1	28236818	28237780	AT1G75230	Gene_Downstream	558
Chr1	28380821	28381151	AT1G75590	Gene_Downstream	1910
Chr1	14169695	14169982	AT1G37140	Gene_Downstream	513
Chr1	26090928	26091214	AT1G69410	Gene_Downstream	685
Chr1	9172953	9173205	AT1G26550	Gene_Downstream	139
Chr1	7991572	7991881	AT1G22600	Gene_Upstream	-2509
Chr1	18364328	18365138	AT1G49610	Gene_Upstream	-1541
Chr1	11211189	11211427	AT1G31319	Gene_Downstream	499
Chr1	5387850	5388292	AT1G15670	Gene_Upstream	-1881
Chr1	2335496	2336291	AT1G07570	Gene_Upstream	-2155
Chr1	10683035	10683355	AT1G30320	Gene_Downstream	241
Chr1	10523235	10523467	AT1G30016	Gene_Upstream	-2136
Chr1	8305306	8305638	AT1G23380	Gene_Upstream	-2821
Chr1	22762960	22763250	AT1G61667	Gene_Upstream	-4558
Chr1	13357950	13358140	AT1G35910	Gene_Downstream	4958
Chr1	26477148	26477885	AT1G70290	Gene_Upstream	-2730
Chr1	10182780	10182978	AT1G29160	Gene_Downstream	918
Chr1	24831081	24831652	AT1G66553	Gene_Downstream	96
Chr1	24533071	24533206	AT1G65920	Gene_Upstream	-3844
Chr1	559537	560397	AT1G02630	Gene_Downstream	643
Chr1	7141387	7141646	AT1G20620	Gene_Upstream	-1551
Chr1	27094871	27095408	AT1G71970	Gene_Downstream	1112
Chr1	29515015	29515361	AT1G78440	Gene_Upstream	-2137
Chr1	930577	930987	AT1G03730	Gene_Downstream	46
Chr1	26242823	26243215	AT1G69760	Gene_Upstream	-2311
Chr1	11545560	11546029	AT1G32090	Gene_Upstream	-1663
Chr1	1880704	1880954	AT1G06160	Gene_Upstream	-2175
Chr1	25505904	25506118	AT1G68050	Gene_Upstream	-2665
Chr1	22519793	22520216	AT1G61110	Gene_Downstream	1717
Chr1	8495528	8495838	AT1G24000	Gene_Downstream	374
Chr1	4579906	4580399	AT1G13360	Gene_Upstream	-2185
Chr1	26512214	26512731	AT1G70370	Gene_Downstream	209
Chr1	21709916	21710212	AT1G58420	Gene_Downstream	1946
Chr1	29217719	29218369	AT1G77740	Gene_Upstream	-2494
Chr1	12217187	12217380	AT1G33709	Gene_Downstream	2088
Chr1	18735253	18735872	AT1G50590	Gene_Upstream	-1509
Chr1	28292872	28293236	AT1G75390	Gene_Downstream	46
Chr1	13014734	13015004	AT1G35400	Gene_Upstream	-3420
Chr1	23069965	23070248	AT1G62370	Gene_Upstream	-2469
Chr1	24955318	24956059	AT1G66890	Gene_Upstream	-1870
Chr1	8984811	8985515	AT1G25560	Gene_Upstream	-2122
Chr1	20761405	20761787	AT1G55580	Gene_Upstream	-2415
Chr1	25708210	25708557	AT1G68510	Gene_Downstream	128
Chr1	27093806	27094691	AT1G71970	Gene_Downstream	221
Chr1	17476197	17476402	AT1G47570	Gene_Upstream	-2356
Chr1	12295539	12295642	AT1G33860	Gene_Downstream	285
Chr1	25410043	25410506	AT1G67775	Gene_Downstream	1038
Chr1	22894487	22894723	AT1G61930	Gene_Downstream	629
Chr1	4190379	4190577	AT1G12320	Gene_Downstream	136
Chr1	8231734	8232024	AT1G23201	Gene_Downstream	1104
Chr1	21053096	21053392	AT1G56233	Gene_Upstream	-2227
Chr1	3084202	3084488	AT1G09540	Gene_Upstream	-1814
Chr1	10723287	10723817	AT1G30380	Gene_Downstream	305
Chr1	8985751	8986294	AT1G25560	Gene_Upstream	-2981
Chr1	7344014	7344114	AT1G21010	Gene_Upstream	-2092
Chr1	29948954	29949790	AT1G79590	Gene_Downstream	598
Chr1	23166146	23166738	AT1G62570	Gene_Upstream	-2694
Chr1	26312908	26313079	AT1G69870	Gene_Upstream	-3034
Chr1	20622106	20622291	AT1G55270	Gene_Upstream	-2062
Chr1	12056429	12056704	AT1G33240	Gene_Upstream	-2020
Chr1	26260548	26261318	AT1G69780	Gene_Downstream	182
Chr1	18431830	18432216	AT1G49780	Gene_Upstream	-1704
Chr1	25469915	25470516	AT1G67910	Gene_Downstream	1073
Chr1	1593771	1594075	AT1G05430	Gene_Downstream	134
Chr1	24011568	24011857	AT1G64620	Gene_Downstream	3018
Chr1	25733852	25734217	AT1G68560	Gene_Downstream	148
Chr1	18206959	18207135	AT1G49220	Gene_Downstream	346
Chr1	21642258	21642474	AT1G58330	Gene_Downstream	325
Chr1	4132282	4132625	AT1G12190	Gene_Downstream	514
Chr1	21448991	21449215	AT1G58007	Gene_Upstream	-1762
Chr1	24743737	24744491	AT1G66350	Gene_Upstream	-4081
Chr1	2140977	2141662	AT1G06980	Gene_Downstream	1712
Chr1	11824218	11824601	AT1G32690	Gene_Upstream	-2699
Chr1	19873948	19874888	AT1G53290	Gene_Downstream	928
Chr1	19431933	19432115	AT1G52190	Gene_Upstream	-2485
Chr1	29365851	29368038	AT1G78080	Gene_Downstream	871
Chr1	7149536	7150896	AT1G20630	Gene_Downstream	239
Chr1	20095026	20095439	AT1G53830	Gene_Upstream	-3290
Chr1	28858572	28859073	AT1G76870	Gene_Downstream	415
Chr1	7393705	7393922	AT1G21110	Gene_Upstream	-2260
Chr1	10297205	10297940	AT1G29410	Gene_Downstream	305
Chr1	15880255	15880782	AT1G42430	Gene_Upstream	-10853
Chr1	4233067	4233299	AT1G12423	Gene_Upstream	-2037
Chr1	24335085	24335551	AT1G65480	Gene_Downstream	1384
Chr1	2520604	2521302	AT1G08080	Gene_Upstream	-2407
Chr1	26212832	26213120	AT1G69690	Gene_Upstream	-3248
Chr1	6426627	6426965	AT1G18670	Gene_Downstream	102
Chr1	4103205	4103773	AT1G12110	Gene_Upstream	-1744
Chr1	7850953	7851714	AT1G22230	Gene_Downstream	211
Chr1	26777630	26777836	AT1G71010	Gene_Upstream	-5106
Chr1	28362904	28363718	AT1G75540	Gene_Upstream	-2716
Chr1	13999699	14000389	AT1G36940	Gene_Upstream	-3822
Chr1	11493969	11494195	AT1G31990	Gene_Downstream	4795
Chr1	26244158	26244491	AT1G69760	Gene_Upstream	-3616
Chr1	28878067	28879120	AT1G76900	Gene_Upstream	-3221
Chr1	16937050	16937349	AT1G44835	Gene_Upstream	-2598
Chr1	5005313	5005503	AT1G14600	Gene_Upstream	-2038
Chr1	28034519	28035232	AT1G74640	Gene_Downstream	102
Chr1	10000941	10001384	AT1G28450	Gene_Upstream	-2804
Chr1	26634199	26634489	AT1G70640	Gene_Upstream	-1911
Chr1	18079071	18079375	AT1G48880	Gene_Upstream	-1810
Chr1	5634969	5635256	AT1G16500	Gene_Upstream	-3920
Chr1	5145074	5145361	AT1G14910	Gene_Upstream	-1528
Chr1	4085590	4085903	AT1G12080	Gene_Downstream	701
Chr1	5137888	5138440	AT1G14890	Gene_Downstream	207
Chr1	22394285	22394986	AT1G60830	Gene_Downstream	423
Chr1	6457027	6457382	AT1G18720	Gene_Downstream	617
Chr1	956497	957287	AT1G03800	Gene_Downstream	369
Chr1	12638750	12639080	AT1G34540	Gene_Downstream	365
Chr1	4266595	4267197	AT1G12500	Gene_Upstream	-1852
Chr1	27933564	27933735	AT1G74300	Gene_Upstream	-1649
Chr1	29763407	29763929	AT1G79110	Gene_Downstream	2964
Chr1	11623044	11623150	AT1G32240	Gene_Downstream	2603
Chr1	24948345	24948894	AT1G66870	Gene_Upstream	-1651
Chr1	8888300	8888547	AT1G25340	Gene_Downstream	2025
Chr1	19701209	19701666	AT1G52900	Gene_Downstream	774
Chr1	16586	16979	AT1G01030	Gene_Upstream	-3068
Chr1	17063523	17063971	AT1G45130	Gene_Upstream	-1505
Chr1	21645700	21645943	AT1G58330	Gene_Downstream	3780
Chr1	7637855	7638137	AT1G21738	Gene_Downstream	3006
Chr1	9895971	9896461	AT1G28300	Gene_Downstream	651
Chr1	17241953	17242237	AT1G46480	Gene_Upstream	-4042
Chr1	22110138	22110662	AT1G60030	Gene_Downstream	3441
Chr1	21915402	21915857	AT1G59650	Gene_Upstream	-4116
Chr1	21037383	21037778	AT1G56210	Gene_Downstream	369
Chr1	22821736	22822101	AT1G61795	Gene_Downstream	889
Chr1	6512268	6512870	AT1G18870	Gene_Upstream	-2860
Chr1	21060467	21060873	AT1G56250	Gene_Downstream	930
Chr1	2280131	2281339	AT1G07430	Gene_Downstream	100
Chr1	8059278	8059770	AT1G22767	Gene_Downstream	1518
Chr1	12050418	12050943	AT1G33240	Gene_Downstream	791
Chr1	26600962	26601190	AT1G70560	Gene_Upstream	-3779
Chr1	25699547	25700085	AT1G68500	Gene_Upstream	-2187
Chr1	11771220	11771777	AT1G32550	Gene_Downstream	268
Chr1	27043831	27043949	AT1G71870	Gene_Upstream	-8995
Chr1	27048599	27048925	AT1G71880	Gene_Upstream	-5418
Chr1	6865483	6866074	AT1G19835	Gene_Upstream	-5335
Chr1	27044072	27044348	AT1G71870	Gene_Upstream	-9315
Chr1	11384386	11384602	AT1G31772	Gene_Downstream	5080
Chr1	27046169	27046525	AT1G71880	Gene_Upstream	-7833
Chr1	11726837	11727012	AT1G32450	Gene_Upstream	-6954
Chr1	22129356	22129633	AT1G60050	Gene_Upstream	-5792
Chr1	4534977	4535259	AT1G13250	Gene_Upstream	-5055
Chr1	25223895	25224165	AT1G67340	Gene_Upstream	-6235
Chr1	4536053	4536445	AT1G13260	Gene_Upstream	-5919
Chr1	17290978	17291332	AT1G47128	Gene_Upstream	-5485
Chr1	4535771	4535988	AT1G13250	Gene_Upstream	-5816
Chr1	27048089	27048527	AT1G71880	Gene_Upstream	-5872
Chr1	6866219	6866366	AT1G19835	Gene_Upstream	-5849
Chr1	27044523	27044955	AT1G71880	Gene_Upstream	-9441
Chr1	8039016	8039334	AT1G22710	Gene_Upstream	-6058
Chr1	6867140	6867427	AT1G19840	Gene_Downstream	5511
Chr1	22761801	22762082	AT1G61660	Gene_Upstream	-5641
Chr1	11494795	11494929	AT1G31990	Gene_Downstream	5575
Chr1	6879850	6880048	AT1G19840	Gene_Upstream	-6694
Chr1	11495297	11495526	AT1G31990	Gene_Downstream	6124
Chr1	10954256	10954680	AT1G30820	Gene_Upstream	-5010
Chr1	27040298	27040619	AT1G71870	Gene_Upstream	-5563
Chr2	13542574	13542611	AT2G31850	Gene_Downstream	2052
Chr2	1251324	1251656	AT2G03980	Gene_Upstream	-7709
Chr2	7816118	7816223	AT2G17960	Gene_Upstream	-3041
Chr2	5215076	5215334	AT2G12646	Gene_Upstream	-46020
Chr2	12774710	12774848	AT2G29970	Gene_Upstream	-1607
Chr2	15947521	15947636	AT2G38100	Gene_Downstream	906
Chr2	15882331	15882367	AT2G37950	Gene_Downstream	139
Chr2	16254460	16254648	AT2G38940	Gene_Upstream	-2674
Chr2	11108758	11108984	AT2G26070	Gene_Upstream	-1683
Chr2	15218004	15218248	AT2G36305	Gene_Downstream	1514
Chr2	9624409	9624489	AT2G22640	Gene_Downstream	231
Chr2	15403250	15403393	AT2G36724	Gene_Downstream	1534
Chr2	13983531	13983615	AT2G32960	Gene_Upstream	-4194
Chr2	4340595	4340670	AT2G10975	Gene_Downstream	4723
Chr2	132474	132617	AT2G01250	Gene_Downstream	152
Chr2	7079811	7079959	AT2G16360	Gene_Upstream	-2519
Chr2	5022708	5022918	AT2G12405	Gene_Upstream	-11223
Chr2	11971269	11971406	AT2G28090	Gene_Downstream	803
Chr2	16285512	16285644	AT2G39000	Gene_Downstream	758
Chr2	2427653	2428285	AT2G06200	Gene_Downstream	646
Chr2	12365561	12365725	AT2G28810	Gene_Downstream	266
Chr2	5009729	5010095	AT2G12400	Gene_Upstream	-1590
Chr2	11169980	11170122	AT2G26240	Gene_Upstream	-1578
Chr2	12047469	12047655	AT2G28260	Gene_Upstream	-2427
Chr2	2842246	2842368	AT2G06925	Gene_Downstream	46
Chr2	10225139	10225158	AT2G24040	Gene_Downstream	518
Chr2	2931677	2931711	AT2G07050	Gene_Downstream	1022
Chr2	9090231	9090535	AT2G21220	Gene_Downstream	570
Chr2	1609933	1610122	AT2G04620	Gene_Downstream	479
Chr2	7633729	7633824	AT2G17540	Gene_Upstream	-1864
Chr2	12185250	12185379	AT2G28500	Gene_Downstream	1255
Chr2	52601	52653	AT2G01050	Gene_Downstream	15710
Chr2	1374509	1374618	AT2G04100	Gene_Downstream	2327
Chr2	13399025	13399074	AT2G31432	Gene_Downstream	210
Chr2	12912667	12912679	AT2G30280	Gene_Upstream	-333
Chr2	9551920	9551993	AT2G22490	Gene_Downstream	1847
Chr2	10735870	10735964	AT2G25200	Gene_Downstream	566
Chr2	14347446	14347902	AT2G33880	Gene_Upstream	-3896
Chr2	12832495	12832571	AT2G30070	Gene_Upstream	-2460
Chr2	9932294	9932341	AT2G23340	Gene_Upstream	-5681
Chr2	15500412	15500599	AT2G36910	Gene_Upstream	-1509
Chr2	1598767	1598820	AT2G04570	Gene_Downstream	2444
Chr2	2121078	2121116	AT2G05645	Gene_Upstream	-18986
Chr2	13451825	13452093	AT2G31620	Gene_Downstream	32
Chr2	17929451	17929589	AT2G43130	Gene_Downstream	134
Chr2	15533500	15533786	AT2G36985	Gene_Downstream	1136
Chr2	5706254	5706717	AT2G13690	Gene_Downstream	22
Chr2	7719129	7719239	AT2G17770	Gene_Upstream	-3919
Chr2	17944172	17944308	AT2G43150	Gene_Upstream	-1653
Chr2	16787652	16787732	AT2G40190	Gene_Downstream	162
Chr2	16788877	16789006	AT2G40200	Gene_Upstream	-2157
Chr2	14085591	14085702	AT2G33233	Gene_Upstream	-2032
Chr2	11964857	11965056	AT2G28080	Gene_Upstream	-1663
Chr2	16697272	16697532	AT2G39990	Gene_Downstream	690
Chr2	12773417	12773492	AT2G29960	Gene_Upstream	-2875
Chr2	9632452	9632501	AT2G22670	Gene_Upstream	-3904
Chr2	16409215	16409495	AT2G39290	Gene_Downstream	232
Chr2	16058929	16059136	AT2G38320	Gene_Downstream	1052
Chr2	16553018	16553248	AT2G39705	Gene_Upstream	-3723
Chr2	1361953	1361996	AT2G04090	Gene_Downstream	679
Chr2	15499300	15499458	AT2G36910	Gene_Upstream	-2635
Chr2	15691219	15691383	AT2G37390	Gene_Upstream	-2899
Chr2	15632367	15632647	AT2G37220	Gene_Downstream	2018
Chr2	10694598	10694839	AT2G25130	Gene_Downstream	464
Chr2	15129921	15129995	AT2G36030	Gene_Upstream	-2187
Chr2	18143933	18144088	AT2G43795	Gene_Upstream	-1641
Chr2	8528546	8528624	AT2G19790	Gene_Downstream	52
Chr2	16697985	16698059	AT2G39990	Gene_Downstream	70
Chr2	436544	436665	AT2G01940	Gene_Downstream	1527
Chr2	9485637	9485691	AT2G22330	Gene_Upstream	-2890
Chr2	14857959	14858043	AT2G35270	Gene_Downstream	123
Chr2	15587146	15587362	AT2G37090	Gene_Downstream	140
Chr2	12803736	12803753	AT2G30000	Gene_Downstream	109
Chr2	9400545	9400589	AT2G22122	Gene_Upstream	-2697
Chr2	13629554	13629631	AT2G32020	Gene_Downstream	1470
Chr2	18278821	18279018	AT2G44210	Gene_Upstream	-1704
Chr2	7579459	7579617	AT2G17450	Gene_Upstream	-2238
Chr2	2313573	2313699	AT2G05970	Gene_Upstream	-3852
Chr2	13768362	13768475	AT2G32430	Gene_Upstream	-2878
Chr2	7211013	7211106	AT2G16630	Gene_Downstream	22
Chr2	15498555	15498722	AT2G36910	Gene_Upstream	-3376
Chr2	8237804	8237991	AT2G18990	Gene_Downstream	794
Chr2	877555	877712	AT2G03010	Gene_Upstream	-1614
Chr2	15282270	15282315	AT2G36410	Gene_Downstream	1604
Chr2	5189088	5189413	AT2G12646	Gene_Upstream	-20065
Chr2	18813361	18813564	AT2G45660	Gene_Upstream	-2415
Chr2	11996213	11996464	AT2G28140	Gene_Downstream	336
Chr2	1415710	1415730	AT2G04170	Gene_Downstream	1462
Chr2	5003646	5003767	AT2G12400	Gene_Downstream	1237
Chr2	8424572	8424730	AT2G19450	Gene_Upstream	-1555
Chr2	6041229	6041259	AT2G14260	Gene_Downstream	9
Chr2	16374075	16374272	AT2G39220	Gene_Downstream	723
Chr2	10653375	10653478	AT2G25052	Gene_Downstream	6648
Chr2	9482660	9482797	AT2G22320	Gene_Downstream	2288
Chr2	12076473	12077380	AT2G28305	Gene_Upstream	-4187
Chr2	12345234	12345369	AT2G28780	Gene_Upstream	-1880
Chr2	11828151	11828264	AT2G27760	Gene_Downstream	616
Chr2	18446191	18446308	AT2G44745	Gene_Downstream	1024
Chr2	12917533	12917664	AT2G30290	Gene_Upstream	-1686
Chr2	656214	656283	AT2G02470	Gene_Downstream	1333
Chr2	18469252	18469336	AT2G44800	Gene_Downstream	743
Chr2	816826	816887	AT2G02835	Gene_Downstream	3581
Chr2	12293241	12293358	AT2G28660	Gene_Upstream	-2028
Chr2	4313750	4314226	AT2G10940	Gene_Upstream	-1885
Chr2	18663378	18663431	AT2G45250	Gene_Downstream	375
Chr2	12842637	12842750	AT2G30080	Gene_Upstream	-2581
Chr2	9481146	9481230	AT2G22320	Gene_Downstream	748
Chr2	9889120	9889188	AT2G23230	Gene_Upstream	-3562
Chr2	14202785	14203069	AT2G33530	Gene_Upstream	-2367
Chr2	13290381	13290564	AT2G31180	Gene_Upstream	-2296
Chr2	15624824	15624882	AT2G37200	Gene_Upstream	-1756
Chr2	11238577	11238654	AT2G26410	Gene_Upstream	-1679
Chr2	273561	273914	AT2G01610	Gene_Downstream	180
Chr2	12944958	12945202	AT2G30370	Gene_Upstream	-2671
Chr2	11005551	11005770	AT2G25800	Gene_Downstream	264
Chr2	10082526	10082753	AT2G23700	Gene_Upstream	-2407
Chr2	9566260	9566374	AT2G22500	Gene_Upstream	-1566
Chr2	4871628	4871672	AT2G12170	Gene_Downstream	18430
Chr2	17145056	17145191	AT2G41130	Gene_Downstream	174
Chr2	12944407	12944462	AT2G30370	Gene_Upstream	-2025
Chr2	19411173	19411383	AT2G47270	Gene_Downstream	282
Chr2	17836241	17836335	AT2G42870	Gene_Downstream	128
Chr2	5766403	5766520	AT2G13810	Gene_Upstream	-1985
Chr2	12841547	12841906	AT2G30080	Gene_Upstream	-1614
Chr2	12282438	12282545	AT2G28640	Gene_Downstream	2134
Chr2	11929384	11929415	AT2G28010	Gene_Downstream	1180
Chr2	17219451	17219558	AT2G41310	Gene_Upstream	-2429
Chr2	2939337	2939424	AT2G07110	Gene_Downstream	13230
Chr2	11554771	11555054	AT2G27060	Gene_Downstream	137
Chr2	4224057	4224183	AT2G10608	Gene_Upstream	-77881
Chr2	1012985	1013143	AT2G03340	Gene_Downstream	1286
Chr2	15495582	15495741	AT2G36900	Gene_Upstream	-2839
Chr2	10707131	10707202	AT2G25150	Gene_Upstream	-2872
Chr2	17190640	17190737	AT2G41225	Gene_Downstream	340
Chr2	10010461	10010588	AT2G23510	Gene_Downstream	993
Chr2	5022478	5022643	AT2G12405	Gene_Upstream	-10970
Chr2	792797	792829	AT2G02795	Gene_Upstream	-3083
Chr2	8025199	8025293	AT2G18500	Gene_Upstream	-1788
Chr2	16058677	16058829	AT2G38320	Gene_Downstream	773
Chr2	6468245	6468412	AT2G15000	Gene_Downstream	12589
Chr2	19286508	19286729	AT2G46940	Gene_Downstream	40
Chr2	6429166	6429257	AT2G14935	Gene_Upstream	-2260
Chr2	11499883	11499992	AT2G26950	Gene_Downstream	784
Chr2	10706276	10706324	AT2G25150	Gene_Upstream	-2006
Chr2	11309582	11309743	AT2G26580	Gene_Upstream	-2709
Chr2	16269249	16269342	AT2G38960	Gene_Downstream	961
Chr2	2919059	2919112	AT2G07040	Gene_Downstream	143
Chr2	10990870	10991013	AT2G25770	Gene_Upstream	-1867
Chr2	19543817	19543843	AT2G47660	Gene_Downstream	670
Chr2	5913893	5914102	AT2G14060	Gene_Downstream	448
Chr2	18635576	18635854	AT2G45200	Gene_Downstream	1788
Chr2	11967270	11967565	AT2G28085	Gene_Downstream	703
Chr2	13805380	13805575	AT2G32520	Gene_Downstream	42
Chr2	16645352	16645541	AT2G39870	Gene_Downstream	69
Chr2	6179708	6179746	AT2G14510	Gene_Upstream	-4675
Chr2	9888278	9888467	AT2G23220	Gene_Downstream	1620
Chr2	15496875	15496961	AT2G36900	Gene_Upstream	-4096
Chr2	18488033	18488330	AT2G44830	Gene_Upstream	-1948
Chr2	6540689	6540789	AT2G15090	Gene_Upstream	-1517
Chr2	19022003	19022074	AT2G46330	Gene_Upstream	-2783
Chr2	17659245	17659308	AT2G42410	Gene_Downstream	482
Chr2	12396888	12397073	AT2G28870	Gene_Upstream	-2065
Chr2	16789017	16789178	AT2G40200	Gene_Upstream	-2001
Chr2	12448740	12448970	AT2G28970	Gene_Downstream	692
Chr2	11018416	11018467	AT2G25830	Gene_Downstream	275
Chr2	9679900	9680013	AT2G22760	Gene_Downstream	592
Chr2	6443609	6443710	AT2G14960	Gene_Downstream	7713
Chr2	16905830	16905943	AT2G40470	Gene_Upstream	-2234
Chr2	12297388	12297521	AT2G28660	Gene_Downstream	337
Chr2	10741142	10741304	AT2G25210	Gene_Downstream	671
Chr2	15254500	15254585	AT2G36380	Gene_Upstream	-3041
Chr2	11832543	11832716	AT2G27770	Gene_Downstream	180
Chr2	2326465	2326863	AT2G06000	Gene_Downstream	722
Chr2	8528719	8528806	AT2G19790	Gene_Downstream	229
Chr2	2738125	2738227	AT2G06845	Gene_Upstream	-16490
Chr2	11645374	11645525	AT2G27229	Gene_Upstream	-3705
Chr2	12099708	12099847	AT2G28330	Gene_Downstream	113
Chr2	8147711	8147767	AT2G18810	Gene_Downstream	200
Chr2	9446327	9446462	AT2G22201	Gene_Downstream	1675
Chr2	7680422	7680525	AT2G17680	Gene_Downstream	95
Chr2	16434722	16434842	AT2G39350	Gene_Upstream	-2225
Chr2	16763252	16763393	AT2G40130	Gene_Upstream	-2598
Chr2	13781541	13781667	AT2G32460	Gene_Downstream	604
Chr2	15951662	15951884	AT2G38100	Gene_Upstream	-1545
Chr2	6539707	6540234	AT2G15090	Gene_Upstream	-2286
